"exp","id","isold","rating","excluding"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,3,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,4,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,5,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",1,6,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,1,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,2,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,3,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
"HDM2006_e1","HDM2006_e1_15",0,4,"Include"
