"exp","id","condition1","block","isold","rating","excluding"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_58","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,5,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,5,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_59","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,5,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,5,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_60","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,1,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,6,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,5,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_61","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,5,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_62","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,5,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,5,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_63","Congruent",1,0,1,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,1,2,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,6,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,5,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,4,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,3,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_64","Congruent",1,0,2,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,6,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,5,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,4,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,3,"Include"
"AP2007_e1","AP2007_e1_65","Incongruent",1,1,3,"Include"
